,Unnamed: 0,path_img,img_no,branch,Path_folder_web,camera_angle,gender,category,work_by,status,clip_from,split,path_img_28,path_img_28_train,img_28_train,path_img_29
0,134517,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_4_17125_17251_yes/17218.jpg,28,Camera17,BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_4_17125_17251_yes/,kku2,motorcycle,motorcycle,Frist,,Bear-House,train,/media/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_4_17125_17251_yes/17218.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/0_17218.jpg,0_17218.jpg,/media/tohn/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_4_17125_17251_yes/17218.jpg
1,119513,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_4_20125_20251_yes/20147.jpg,16,Camera16,BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_4_20125_20251_yes/,kku2,motorcycle,motorcycle,Tung,,Bear-House,train,/media/HDD/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_4_20125_20251_yes/20147.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/1_20147.jpg,1_20147.jpg,/media/tohn/HDD/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_4_20125_20251_yes/20147.jpg
2,146472,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099_870_893//yes/person_1_0_101_yes/44.jpg,39,Camera18,BearHouse-Person/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099_870_893//yes/person_1_0_101_yes/,Complax,Men,Working,Nat,,KKU,train,/media/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099_870_893//yes/person_1_0_101_yes/44.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/2_44.jpg,2_44.jpg,/media/tohn/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099/IP-Camera18_Complex_Complex_20230620095726_20230620103242_5777316099_870_893//yes/person_1_0_101_yes/44.jpg
3,141713,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080_1638_1653//yes/person_0_100_201_yes/150.jpg,50,Camera18,BearHouse-Person/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080_1638_1653//yes/person_0_100_201_yes/,Complax,Men,Working,Yoke,,KKU,train,/media/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080_1638_1653//yes/person_0_100_201_yes/150.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/3_150.jpg,3_150.jpg,/media/tohn/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080/IP-Camera18_Complex_Complex_20230619113237_20230619120753_3807210080_1638_1653//yes/person_0_100_201_yes/150.jpg
4,172876,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840_1110_1146//yes/person_0_400_501_yes/422.jpg,22,Camera18,BearHouse-Person/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840_1110_1146//yes/person_0_400_501_yes/,Complax,Women,Working,Nat,,KKU,train,/media/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840_1110_1146//yes/person_0_400_501_yes/422.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/4_422.jpg,4_422.jpg,/media/tohn/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840/IP-Camera18_Complex_Complex_20230620085959_20230620092212_6905565840_1110_1146//yes/person_0_400_501_yes/422.jpg
5,173027,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844_193_227//yes/person_4_400_501_yes/418.jpg,19,Camera18,BearHouse-Person/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844_193_227//yes/person_4_400_501_yes/,Complax,Women,Working,Yoke,,KKU,train,/media/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844_193_227//yes/person_4_400_501_yes/418.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/5_418.jpg,5_418.jpg,/media/tohn/HDD/BearHouse-Person/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844/IP-Camera18_Complex_Complex_20230619124308_20230619131823_3958763844_193_227//yes/person_4_400_501_yes/418.jpg
6,9200,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/parama9_ch3_20230311060001_20230311215604-018/parama9_ch3_20230311060001_20230311215604-018_17996_21600//yes/person_4_36825_36901_yes/36886.jpg,14,parama9,BearHouse-Person/parama9_ch3_20230311060001_20230311215604-018/parama9_ch3_20230311060001_20230311215604-018_17996_21600//yes/person_4_36825_36901_yes/,ch3,Men,Working,Yoke,,Bear-House,train,/media/HDD/BearHouse-Person/parama9_ch3_20230311060001_20230311215604-018/parama9_ch3_20230311060001_20230311215604-018_17996_21600//yes/person_4_36825_36901_yes/36886.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/6_36886.jpg,6_36886.jpg,/media/tohn/HDD/BearHouse-Person/parama9_ch3_20230311060001_20230311215604-018/parama9_ch3_20230311060001_20230311215604-018_17996_21600//yes/person_4_36825_36901_yes/36886.jpg
7,51117,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_0_19000_19126_yes/19061.jpg,62,Camera17,BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_0_19000_19126_yes/,kku2,Men,Working,Frist,,Bear-House,train,/media/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_0_19000_19126_yes/19061.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/7_19061.jpg,7_19061.jpg,/media/tohn/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_0_19000_19126_yes/19061.jpg
8,132326,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_16_12000_12126_yes/12103.jpg,20,Camera17,BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_16_12000_12126_yes/,kku2,motorcycle,motorcycle,Frist,,Bear-House,train,/media/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_16_12000_12126_yes/12103.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/8_12103.jpg,8_12103.jpg,/media/tohn/HDD/BearHouse-Person/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973/IP Camera17_kku2_kku2_20230615145546_20230615160000_17203459973_0_2000//yes/person_16_12000_12126_yes/12103.jpg
9,27396,/media/hdd/tan/code/Show-Images/static/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_0_35875_36001_yes/35922.jpg,48,Camera16,BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_0_35875_36001_yes/,kku2,Men,Working,Tung,,Bear-House,train,/media/HDD/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_0_35875_36001_yes/35922.jpg,/media/HDD/BearHouse-Person-Data/data_R3_middleframe/train/9_35922.jpg,9_35922.jpg,/media/tohn/HDD/BearHouse-Person/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633/IP Camera16_kku2_kku2_20230615080926_20230615084546_19451742633_220_2065//yes/person_0_35875_36001_yes/35922.jpg
